gset_id,n,lambda_min,lambda_max,initialization,effective_initial_dual,initial_convex,positive_multiplier_condition,selected_mode_count,initial_selected_energy_fraction,preclip_time,preclip_epsilon_lt_0_1,preclip_epsilon_lt_1,preclip_max_epsilon,preclip_selected_energy_fraction,preclip_energy_fraction_epsilon_lt_0_1,preclip_energy_fraction_epsilon_lt_1,preclip_selected_energy_share_epsilon_lt_0_1,preclip_selected_energy_share_epsilon_lt_1,first_clip,clip_sample_time,clip_epsilon_lt_0_1,clip_epsilon_lt_1,clip_max_epsilon,clip_selected_energy_fraction,clip_energy_fraction_epsilon_lt_0_1,clip_energy_fraction_epsilon_lt_1,first_prediction_error_above_10pct,first_forcing_relative_above_1pct,final_time,final_epsilon_lt_0_1,final_epsilon_lt_1,final_max_epsilon,final_selected_energy_fraction,archive_cut_at_100,archive_cut_at_500,archive_cut_at_1000,time_to_99pct_final_cut,final_energy_fraction_epsilon_lt_0_1,final_energy_fraction_epsilon_lt_1,best_threshold_cut,spectral_upper,spectral_certified_ratio,max_relative_identity_residual,max_forcing_projection_discrepancy,max_bound_violation,max_relative_bound_violation
1,800,-13.274151715691659,48.7874941741874,v1,8.172110899365123,0,1,12,0.9999999999999916,0,12,12,0.0,0.9999999999999916,0.9999999999999917,0.9999999999999917,1.0000000000000002,1.0000000000000002,1,10,1,1,6749141.558601017,0.9992300600181125,0.9991924413571023,0.9991924413571023,30,30,3000,0,1,170398256.10657606,0.6025747320887594,11396.0,11538.0,11591.0,270,0,0.3948224830456115,11610.0,12242.830343138332,0.9483101272008551,5.3483192318563524e-08,1.2795320358804929e-14,2.9514790517935283e+20,9.421130160724066e-15
2,800,-13.395787316459483,48.84861841704257,v1,8.293746500132947,0,1,14,0.9999999999999899,0,14,14,0.0,0.9999999999999899,0.99999999999999,0.99999999999999,1.0000000000000002,1.0000000000000002,2,10,1,1,5040024.889331252,0.9993300365491471,0.9993077076751026,0.9993077076751026,30,30,3000,0,0,458733159.39245784,0.5530219386459537,11341.0,11527.0,11585.0,280,0,0,11585.0,12267.157463291896,0.9443915621582932,2.0319537633051058e-08,1.404432126150823e-14,1.1796119636642288e-16,1.1796119636642288e-16
3,800,-13.473226512804215,48.882311073058524,v1,8.37118569647768,0,1,12,0.9999999999999887,0,12,12,0.0,0.9999999999999887,0.9999999999999889,0.9999999999999889,1.0000000000000002,1.0000000000000002,1,10,1,1,2744555.578978569,0.9994561373713159,0.9994337992192394,0.9994337992192394,30,30,3000,0,1,84827530.80684654,0.5801513762851125,11356.0,11497.0,11542.0,340,0,0.3299806074827029,11595.0,12282.645302560843,0.944014885586782,1.4098640516733595e-08,1.479372180313021e-14,3.68934881474191e+20,5.7170169746008866e-15
4,800,-13.676860186112613,48.89070821662589,v1,8.574819369786077,0,1,12,0.9999999999999915,0,12,12,0.0,0.9999999999999915,0.9999999999999916,0.9999999999999916,1.0000000000000002,1.0000000000000002,1,10,1,1,10374675.103429347,0.9993293977220984,0.9993096910019339,0.9993096910019339,30,20,3000,0,0,107444823.24520378,0.6108581813835441,11405.0,11566.0,11624.0,320,0,0,11626.0,12323.372037222522,0.9434106156077962,1.4907623052940366e-08,1.3822276656583199e-14,2.220446049250313e-16,2.220446049250313e-16
5,800,-13.647125366575334,48.868246247171214,v1,8.545084550248799,0,1,12,0.9999999999999881,0,12,12,0.0,0.9999999999999881,0.9999999999999882,0.9999999999999882,1.0000000000000002,1.0000000000000002,1,10,1,1,2582304.553003639,0.9994846104661316,0.9994667268145161,0.9994667268145161,40,30,3000,0,0,185154902.85894018,0.6102200285105783,11393.0,11544.0,11594.0,220,0,0,11611.0,12317.425073315067,0.94264831577133,7.051104951790932e-08,1.5681900222830336e-14,4.996003610813204e-16,4.996003610813204e-16
