gset_id,initialization,n,step,lambda_min,eigen_residual,initial_dual,archive_cut,fractionality,rayleigh,v1_energy_fraction,mean_dual,dual_anisotropy_rms,saturated_fraction
67,center_uniform,10000,0,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,-0.0,0.9966247572208943,-0.009007519072584298,1.4633724554136571e-05,3.6658849716186523,0.0,0.0
67,center_uniform,10000,10,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,320.0,0.9974505210149704,-0.32769987138037476,1.9253548779242874e-05,3.6160338495492934,0.0001328449727590958,0.0
67,center_uniform,10000,20,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,686.0,0.9980164839041522,-0.6366750911703866,2.4692298358635524e-05,3.566147749376297,0.00023525159686977316,0.0
67,center_uniform,10000,30,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,1084.0,0.9984123633804411,-0.9273974946208563,3.0903809731874114e-05,3.5162374748945235,0.00031714000835137264,0.0
67,center_uniform,10000,40,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,1482.0,0.9986949402252576,-1.1937041686574663,3.7811854427072186e-05,3.4663101482391356,0.0003847264862630253,0.0
67,center_uniform,10000,50,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,1814.0,0.9989006434421458,-1.4321732745385238,4.532577553836058e-05,3.416370540571213,0.00044201739840518054,0.0
67,center_uniform,10000,60,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,2154.0,0.9990531801349019,-1.641909795449201,5.3355327586772175e-05,3.366421924638748,0.0004916919689694014,0.0
67,center_uniform,10000,70,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,2560.0,0.999168208111666,-1.8239649586994067,6.181901455109042e-05,3.3164665745258333,0.0005355887645635498,0.0
67,center_uniform,10000,80,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,2924.0,0.9992562261774831,-1.9806417469607476,7.065152749643913e-05,3.26650612142086,0.0005750131971280564,0.0
67,center_uniform,10000,90,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,3216.0,0.9993243822173763,-2.114870846095358,7.980350282112174e-05,3.216541743326187,0.0006109220786570781,0.0
67,center_uniform,10000,100,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,3474.0,0.9993776161472452,-2.2297434793542106,8.923991041592294e-05,3.166574314045906,0.0006440483835842179,0.0
67,center_uniform,10000,110,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,3732.0,0.9994193916701207,-2.3282132883766327,9.893563244930776e-05,3.116604492688179,0.0006749670243598729,0.0
67,center_uniform,10000,120,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,3940.0,0.9994521697737238,-2.412936170915717,0.00010888016596489068,3.066632795214653,0.0007041260743867708,0.0
67,center_uniform,10000,130,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4090.0,0.9994777189873799,-2.4862093768307667,0.00011906466450449697,3.0166596311569216,0.0007318969215303435,0.0
67,center_uniform,10000,140,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4224.0,0.9994973216531665,-2.5499681006924755,0.00012948706192436474,2.9666853348970412,0.0007586007339289433,0.0
67,center_uniform,10000,150,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4348.0,0.9995119118230419,-2.6058167349702495,0.00014014448161578022,2.9167101664304735,0.0007845079520307492,0.0
