time,theta_mean,theta_std,theta_min,theta_max,fractionality,dual_anisotropy_rms,dual_anisotropy_inf,forcing_l2,anisotropy_forcing_l2,projection_forcing_l2,forcing_relative,clip_fraction,trigger_fraction,prediction_relative_error,rayleigh,weighted_spectral_excess,flatness,weighted_tail,saturation_deficit,bernoulli_gap_bound,bernoulli_expected_cut,current_best_threshold_cut,archive_best_cut,threshold_spectral_gap_bound,spectral_entropy,effective_rank
0.0,-15.0,0.0,-15.0,-15.0,0.9965808186573064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3316895541705489,13.141536958633665,14.615458227388997,8.986659596655722,2685.43182161715,2694.4184812138055,9588.226821347038,9572.0,9572.0,2710.645302560843,5.93652102737334,378.6154428781918
10.0,-14.950108572244645,0.0,-14.950108572244645,-14.950108572244645,0.9988073496663269,9.835786355475961e-05,0.000287011861800579,4.58924189740263e-07,2.458028454672082e-07,3.8530969144233304e-07,9.396570683232304e-07,0.0,0.0,3.463244651847414e-06,-3.9709483479732857,9.50227816483093,15.36282602531985,2.2665790447880747,2691.431532941613,2693.6981119864013,9588.947190574441,10055.0,10055.0,2227.645302560843,5.75853755110219,316.8845624040732
20.0,-14.9001504945755,0.0,-14.9001504945755,-14.9001504945755,0.9994565696543084,0.00013867338022882468,0.00047473430633537816,4.630184469894556e-07,2.6291233404854776e-07,3.8351977053229895e-07,1.4044663977291434e-06,0.0,0.0,9.660870064084558e-06,-6.5788426798815705,6.894383832922644,16.247212249110166,0.7493234779311497,2693.1809505325564,2693.9302740104877,9588.715028550356,10435.0,10435.0,1847.645302560843,5.4265648024425275,227.36685230024915
30.0,-14.850170836448669,0.0,-14.850170836448669,-14.850170836448669,0.9997027248519209,0.00015914844236351609,0.0005915307998662911,4.533320751079541e-07,2.3666836207270367e-07,3.919441836432123e-07,1.8591830374597023e-06,0.0,0.0,1.718772631458807e-05,-8.279907838049914,5.1933186747543,17.047886448210274,0.30876891561190734,2693.8442514795033,2694.153020395115,9588.492282165727,10634.0,10634.0,1648.645302560843,5.083770452254773,161.38139107487285
40.0,-14.800182225704193,0.0,-14.800182225704193,-14.800182225704193,0.9998169798133547,0.00017090711851974334,0.0006629204750066009,4.35429293387485e-07,2.0423210130187158e-07,3.888824361316101e-07,2.2758998538933e-06,0.0,0.0,2.4882740940589906e-05,-9.373193078071418,4.100033434732795,17.411525462265814,0.1500777768953805,2694.1521280746256,2694.3022058515207,9588.343096709323,10757.0,10757.0,1525.645302560843,4.785846421998028,119.80272384170308
50.0,-14.750189150571822,0.0,-14.750189150571822,-14.750189150571822,0.9998781514208923,0.00017830195947360776,0.000705395936966724,4.227290963998233e-07,1.7437512353704961e-07,3.83980603504997e-07,2.7079267279542847e-06,0.0,0.0,3.230247873143309e-05,-10.106691239648319,3.3665352731558955,17.586268554588543,0.0820415079099905,2694.316963859527,2694.399005367437,9588.246297193406,10888.0,10888.0,1394.645302560843,4.535608040497242,93.28021621350175
60.0,-14.700193376541138,0.0,-14.700193376541138,-14.700193376541138,0.999914298158858,0.00018317918758774875,0.0007314968109124464,4.051419579741185e-07,1.4906323420141897e-07,3.7988638901242446e-07,3.0945474677170753e-06,0.0,0.0,3.9086381940120005e-05,-10.62722529798682,2.8460012148173943,17.697875990417522,0.048781508800454426,2694.414366497189,2694.4631480059893,9588.182154554854,10955.0,10955.0,1327.645302560843,4.322703843870826,75.3922016951122
70.0,-14.650196044445037,0.0,-14.650196044445037,-14.650196044445037,0.9999372050866974,0.0001866245399986361,0.0007467579841620164,3.8690282602233974e-07,1.2828748798788453e-07,3.7564053454530046e-07,3.4524283284367107e-06,0.0,0.0,4.490698144094689e-05,-11.015621253017207,2.45760525978701,17.769621228571587,0.03086502184407744,2694.4760925426876,2694.5069575645316,9588.13834499631,11023.0,11023.0,1259.645302560843,4.137296980144872,62.633293397929506
80.0,-14.600197675228118,0.0,-14.600197675228118,-14.600197675228118,0.9999524924620316,0.00018906715386358643,0.0007544732093816009,3.9463950015969846e-07,1.11239320852765e-07,3.788537378218365e-07,4.048594609175959e-06,0.0,0.0,5.080251274970795e-05,-11.31714400439959,2.156082508404624,17.79840845851488,0.020486034326228635,2694.51728659682,2694.5377726311463,9588.107529929697,11072.0,11072.0,1210.645302560843,3.9723854443567133,53.11107335982518
90.0,-14.550198609828948,0.0,-14.550198609828948,-14.550198609828948,0.9999631098534298,0.00019096420136424172,0.000761930942536182,3.8762254085808766e-07,9.735479240784634e-08,3.770163273130097e-07,4.512724655698446e-06,0.0,0.0,5.5950237446900105e-05,-11.558386243282277,1.9148402695219402,17.87340915168656,0.014127747640220496,2694.545896700677,2694.560024448317,9588.085278112525,11086.0,11086.0,1196.645302560843,3.823324798338461,45.75608545741866
100.0,-14.500198975801467,0.0,-14.500198975801467,-14.500198975801467,0.9999707227507706,0.0001925001117181936,0.0007670962810522042,3.986215138913191e-07,8.603233068633155e-08,3.8793791170939254e-07,5.209314784815233e-06,0.0,0.0,6.110272918690729e-05,-11.755834182413729,1.7173923303904866,17.98939328813784,0.010056104656288355,2694.566410758735,2694.576466863391,9588.068835697452,11110.0,11110.0,1172.645302560843,3.6870587642689965,39.92723866421477
110.0,-14.450198825597763,0.0,-14.450198825597763,-14.450198825597763,0.9999763262741603,0.00019367899481667652,0.0007661020755769243,3.8564732340636685e-07,7.664541008679586e-08,3.7532524781974973e-07,5.604566372932329e-06,0.0,0.0,6.632733071235288e-05,-11.920282605098981,1.5529439077052345,18.08688754945178,0.007352793663076524,2694.581510266715,2694.588863060378,9588.056439500464,11126.0,11129.0,1156.645302560843,3.5615062878767247,35.21620295365449
120.0,-14.40019828081131,0.0,-14.40019828081131,-14.40019828081131,0.9999805425485924,0.00019444897179225868,0.0007655024528503418,3.879769133784089e-07,6.878005325758366e-08,3.826619287714948e-07,6.219391682530151e-06,0.0,0.0,7.126715828446696e-05,-12.059139187174678,1.4140873256295408,18.181059654902423,0.005502907084921352,2694.5928716308076,2694.5983745378926,9588.04692802295,11133.0,11133.0,1149.645302560843,3.445198107762713,31.349493409529693
130.0,-14.350197528600694,0.0,-14.350197528600694,-14.350197528600694,0.9999837752237903,0.0001950020586881201,0.0007651102542869381,3.957844241216974e-07,6.217303858759991e-08,3.899112568092254e-07,6.947912546490263e-06,0.0,0.0,7.505899600380081e-05,-12.177711510736405,1.2955150020678095,18.23525280584922,0.004203888196954904,2694.6015825438444,2694.6057864320414,9588.039516128802,11179.0,11179.0,1103.645302560843,3.337016119214851,28.13504969572743
140.0,-14.300196614265442,0.0,-14.300196614265442,-14.300196614265442,0.9999862943761771,0.00019534466005351666,0.0007648801803590288,3.946631611080981e-07,5.65313658501443e-08,3.877707812560183e-07,7.538105102906119e-06,0.0,0.0,7.848450240758503e-05,-12.27992785174109,1.193298661063123,18.296760326859257,0.0032709805113732573,2694.60837076599,2694.6116417465014,9588.03366081434,11184.0,11184.0,1098.645302560843,3.2360687737451665,25.43353995769752
150.0,-14.25019564986229,0.0,-14.25019564986229,-14.25019564986229,0.9999882856065578,0.00019562591823010035,0.0007647001743311677,3.995253262972996e-07,5.174529893691738e-08,3.935504371112706e-07,8.254094066035058e-06,0.0,0.0,8.230793896106974e-05,-12.368779467867608,1.1044470449366086,18.344536761178112,0.002587585444094316,2694.613736425582,2694.616324011026,9588.028978549817,11162.0,11184.0,1120.645302560843,3.1416155493267386,23.141222462055914
160.0,-14.20019462943077,0.0,-14.20019462943077,-14.20019462943077,0.9999898792891748,0.00019583856094851154,0.0007645761966710296,4.0174997411638637e-07,4.764190263172448e-08,3.978192150394895e-07,8.929668805945365e-06,0.0,0.0,8.641510899610243e-05,-12.446598761222845,1.0266277515813742,18.372771356971594,0.0020780405197653477,2694.6180308349594,2694.620108875479,9588.025193685364,11149.0,11184.0,1133.645302560843,3.0529951300947666,21.178682431520947
