time,theta_mean,theta_std,theta_min,theta_max,fractionality,dual_anisotropy_rms,dual_anisotropy_inf,forcing_l2,anisotropy_forcing_l2,projection_forcing_l2,forcing_relative,clip_fraction,trigger_fraction,prediction_relative_error,rayleigh,weighted_spectral_excess,flatness,weighted_tail,saturation_deficit,bernoulli_gap_bound,bernoulli_expected_cut,current_best_threshold_cut,archive_best_cut,threshold_spectral_gap_bound,spectral_entropy,effective_rank
0.0,-15.0,0.0,-15.0,-15.0,0.9965808186573064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2393725011135679,13.156414815345915,14.615458227388997,8.996833614673683,2669.9969380792704,2678.993771693944,9588.163691597952,9585.0,9585.0,2682.1574632918964,6.00248662225521,404.43321680215087
10.0,-14.950108309984207,0.0,-14.950108309984207,-14.950108309984207,0.9988124015913078,9.73245382365351e-05,0.000298718214034821,4.6158478733274406e-07,2.414310545739775e-07,3.9241462645001315e-07,9.471127558802149e-07,0.0,0.0,3.3366243081778765e-06,-3.9846798086176616,9.41110750784182,15.321811420741723,2.2353232600688813,2675.9757001518556,2678.2110234119245,9588.946439879972,10023.0,10023.0,2244.1574632918964,5.82283894239224,337.9300570930167
20.0,-14.900150121450425,0.0,-14.900150121450425,-14.900150121450425,0.9994553156602421,0.00013711547315922457,0.0005027639865868849,4.512152034647379e-07,2.626413179110629e-07,3.752011004727153e-07,1.3670874051406036e-06,0.0,0.0,9.33090193156575e-06,-6.724825121161845,6.670962195297638,16.318394654196183,0.7267137277790316,2677.698168177896,2678.424881905675,9588.73258138622,10352.0,10352.0,1915.1574632918964,5.456384802120725,234.24903512675104
30.0,-14.85017072916031,0.0,-14.85017072916031,-14.85017072916031,0.9996972875238613,0.00015780988964487878,0.0006498122215266022,4.5196215448177425e-07,2.4432383434743406e-07,3.75818924451423e-07,1.836842469522663e-06,0.0,0.0,1.7130981840702823e-05,-8.51385611607585,4.881931200383636,16.974900514402382,0.295564296401323,2678.346448902218,2678.642013198619,9588.515450093277,10648.0,10648.0,1619.1574632918964,5.062391442106831,157.9678359088881
40.0,-14.800182460546493,0.0,-14.800182460546493,-14.800182460546493,0.9998096564254352,0.00017010980579927666,0.0007799875736242967,4.6149869673697343e-07,2.1853345677958096e-07,3.9984857233139617e-07,2.3653007562318205e-06,0.0,0.0,2.5054217496150184e-05,-9.650769821332393,3.7450174951270916,17.35968043867906,0.14256800336607062,2678.647502883511,2678.7900708868774,9588.36739240502,10796.0,10796.0,1471.1574632918964,4.711835055008543,111.25613382238346
50.0,-14.750189858675004,0.0,-14.750189858675004,-14.750189858675004,0.9998702796479566,0.00017809127922067941,0.0008744418621056127,4.376527547278194e-07,1.929888995135003e-07,3.954384508342065e-07,2.7171311993527337e-06,0.0,0.0,3.257157715423535e-05,-10.398886819899085,2.9969004965603996,17.641128078155763,0.07775179749059696,2678.809922042579,2678.8876738400695,9588.269789451828,10885.0,10890.0,1382.1574632918964,4.414611597328052,82.6497332939235
60.0,-14.700194638967513,0.0,-14.700194638967513,-14.700194638967513,0.9999065694340078,0.00018352573925547254,0.00094481110572886,4.136710165099459e-07,1.6998913646017282e-07,3.8104332058886715e-07,3.026185916548961e-06,0.0,0.0,4.025190982609601e-05,-10.916133946196352,2.479653370263134,17.829723418364825,0.04633508356962286,2678.907148093719,2678.953483177289,9588.203980114607,10995.0,10995.0,1272.1574632918964,4.163007080297594,64.26448078816425
70.0,-14.650197795629502,0.0,-14.650197795629502,-14.650197795629502,0.9999299518762258,0.00018744118787405008,0.000995823144911867,4.1880092845959097e-07,1.50121344137356e-07,3.8937448178552327e-07,3.5382978157935457e-06,0.0,0.0,4.752619110779702e-05,-11.290212911269853,2.10557440518963,17.946760061113707,0.029498307310080695,2678.969793338297,2678.999291645607,9588.15817164629,11022.0,11028.0,1245.1574632918964,3.947731203052286,51.817669599129346
80.0,-14.600199748277664,0.0,-14.600199748277664,-14.600199748277664,0.9999458535785509,0.00019037495541491192,0.0010346877574924918,3.952264378960542e-07,1.331877226071428e-07,3.7860245495343587e-07,3.797922608164398e-06,0.0,0.0,5.335202780150409e-05,-11.570928267687595,1.8248590487718863,18.02657429863784,0.019761917428008365,2679.0123965027606,2679.0321584201884,9588.125304871708,11031.0,11031.0,1236.1574632918964,3.7611878907452208,42.99947433043446
90.0,-14.55020090341568,0.0,-14.55020090341568,-14.55020090341568,0.9999571210635927,0.00019270051199993265,0.0010638594627376818,4.121298689075284e-07,1.1882759470133835e-07,3.9428665955051326e-07,4.450379956162459e-06,0.0,0.0,5.9870746257192015e-05,-11.788009332487999,1.607777983971486,18.136223370044608,0.013787961986342688,2679.042583869403,2679.0563718313897,9588.101091460507,11035.0,11035.0,1232.1574632918964,3.5975417795829134,36.50837840476281
