time,theta_mean,theta_std,theta_min,theta_max,fractionality,dual_anisotropy_rms,dual_anisotropy_inf,forcing_l2,anisotropy_forcing_l2,projection_forcing_l2,forcing_relative,clip_fraction,trigger_fraction,prediction_relative_error,rayleigh,weighted_spectral_excess,flatness,weighted_tail,saturation_deficit,bernoulli_gap_bound,bernoulli_expected_cut,current_best_threshold_cut,archive_best_cut,threshold_spectral_gap_bound,spectral_entropy,effective_rank
0.0,-15.0,0.0,-15.0,-15.0,0.9965808186573064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866209212450829,13.833746287820418,14.615458227388997,9.460017441374484,2720.092674028108,2729.5526914694824,9587.872381845586,9445.0,9445.0,2872.425073315067,5.9756885850885055,393.739130661061
10.0,-14.950106981992722,0.0,-14.950106981992722,-14.950106981992722,0.9988534243539234,9.641739450743648e-05,0.0002685749530790815,4.417082637847462e-07,2.3419495816949587e-07,3.849969692359772e-07,9.223997363423596e-07,0.0,0.0,3.300010308502374e-06,-3.5803111486772488,10.066814217898084,15.401400874109468,2.3084728031637596,2726.295580998213,2728.6040538013767,9588.82101951369,9998.0,9998.0,2319.425073315067,5.84746991977248,346.3569600784261
20.0,-14.900146824121475,0.0,-14.900146824121475,-14.900146824121475,0.9994903454667271,0.00013415428279792615,0.00042595267295908457,4.7070951476664973e-07,2.4133268969765643e-07,3.999021075890852e-07,1.474348096738725e-06,0.0,0.0,9.256667281760396e-06,-6.38560181907879,7.261523547496544,16.172270451983447,0.7401736788899065,2728.034009453223,2728.7741831321127,9588.650890182955,10352.0,10352.0,1965.425073315067,5.5314508984202755,252.51001174895754
30.0,-14.850165880918503,0.0,-14.850165880918503,-14.850165880918503,0.9997237767230148,0.00015261687360654233,0.0005030262470242519,4.398669879310946e-07,2.133022786170509e-07,3.9037137703038105e-07,1.871441409471118e-06,0.0,0.0,1.6024228848733167e-05,-8.245212430735393,5.401912935839941,16.811719888654174,0.29842681862527015,2728.67114257703,2728.969569395655,9588.455503919413,10584.0,10584.0,1733.425073315067,5.175400740843906,176.86747809890286
40.0,-14.800176463127137,0.0,-14.800176463127137,-14.800176463127137,0.9998297229572187,0.0001630396763039504,0.0005675935745230731,4.236190695949606e-07,1.8333926536222078e-07,3.855209099083735e-07,2.2955272607345225e-06,0.0,0.0,2.3013438053600983e-05,-9.435206700840343,4.211918665734991,17.31959023041504,0.14343861096731791,2728.9603148850897,2729.103753496057,9588.32131981901,10719.0,10720.0,1598.425073315067,4.852238034172916,128.02659735539618
50.0,-14.750182893276214,0.0,-14.750182893276214,-14.750182893276214,0.9998857875410431,0.0001695609078967606,0.0006181931495667925,4.05007402708459e-07,1.5732126961276418e-07,3.8055811133633724e-07,2.6797311369976653e-06,0.0,0.0,2.9480133663469946e-05,-10.225349155602865,3.4217762109724656,17.673127715950713,0.07816189501106535,2729.113338965905,2729.1915008609158,9588.233572454152,10860.0,10860.0,1457.425073315067,4.572764897806433,96.8114137339602
60.0,-14.7001868891716,0.0,-14.7001868891716,-14.7001868891716,0.99991876762785,0.00017406387609977434,0.0006550145149226694,4.123586176708088e-07,1.359483420032775e-07,3.8873369900406574e-07,3.2351581015427524e-06,0.0,0.0,3.6032588724637904e-05,-10.78235045775911,2.864774908816226,17.841404439027503,0.046542492303788215,2729.203355641756,2729.2498981340595,9588.175175181008,10980.0,10980.0,1337.425073315067,4.3283335882155525,75.8178375024561
70.0,-14.650189390182495,0.0,-14.650189390182495,-14.650189390182495,0.9999396595359319,0.0001772493576181634,0.0006818866729734196,4.2883524465268015e-07,1.1853829951235687e-07,4.0204069166238345e-07,3.903652504598578e-06,0.0,0.0,4.206160771664924e-05,-11.197927962616884,2.4491974039584505,17.93948304839776,0.02955714158987841,2729.260378539504,2729.289935681094,9588.135137633973,11038.0,11038.0,1279.425073315067,4.10909479237881,60.8915730987548
80.0,-14.600190907716751,0.0,-14.600190907716751,-14.600190907716751,0.9999536273124078,0.00017959964656027406,0.0007011592388153076,4.1339247897339535e-07,1.043811673157721e-07,4.0221415262760374e-07,4.292560647868173e-06,0.0,0.0,4.632521403054922e-05,-11.522505334731804,2.124620031843533,17.995665215551906,0.019704868197777104,2729.2985025388357,2729.3182074070332,9588.106865908034,11096.0,11105.0,1221.425073315067,3.9079010866406243,49.79432823298471
90.0,-14.550191643238067,0.0,-14.550191643238067,-14.550191643238067,0.9999633570204072,0.00018141593200457533,0.0007183527946477142,3.9106138804010623e-07,9.285696949484396e-08,3.7664035989266674e-07,4.568088921837518e-06,0.0,0.0,5.1814667142494435e-05,-11.784977469487329,1.8621478970880094,18.068682265552482,0.01364692947835603,2729.3250590478056,2729.338705977284,9588.086367337783,11124.0,11124.0,1193.425073315067,3.7201327226431347,41.26987119152266
