time,theta_mean,theta_std,theta_min,theta_max,fractionality,dual_anisotropy_rms,dual_anisotropy_inf,forcing_l2,anisotropy_forcing_l2,projection_forcing_l2,forcing_relative,clip_fraction,trigger_fraction,prediction_relative_error,rayleigh,weighted_spectral_excess,flatness,weighted_tail,saturation_deficit,bernoulli_gap_bound,bernoulli_expected_cut,current_best_threshold_cut,archive_best_cut,threshold_spectral_gap_bound,spectral_entropy,effective_rank
0.0,-15.0,0.0,-15.0,-15.0,0.9965808186573064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5635344203683412,13.83768613606,14.615458227388997,9.462711652493246,2645.7529967610562,2655.2157084135497,9587.614634724781,9555.0,9555.0,2687.830343138332,5.979855194931264,395.38311053132924
10.0,-14.950105636119842,0.0,-14.950105636119842,-14.950105636119842,0.9988938589113261,9.533268268633315e-05,0.00029662370681826644,4.587131118257415e-07,2.344538467613654e-07,3.974158123569256e-07,9.752610818172845e-07,0.0,0.0,3.4154061915791665e-06,-3.155346974716494,10.118804740975165,15.135602245445398,2.2385651384522545,2651.893726212328,2654.13229135078,9588.698051787553,9863.0,9863.0,2379.830343138332,5.856972198495324,349.6638269537731
20.0,-14.900143624544144,0.0,-14.900143624544144,-14.900143624544144,0.9995232282602627,0.00013226359584861074,0.0004863727092736525,4.673778834684253e-07,2.424603688356657e-07,3.960525161723636e-07,1.5135539547643965e-06,0.0,0.0,9.680960540423456e-06,-6.0919030657549085,7.182248649936749,16.671416935953236,0.6848586368111078,2653.5645950569265,2654.2494536937375,9588.580889444595,10176.0,10176.0,2066.830343138332,5.504293723201133,245.744830500098
30.0,-14.850161166191102,0.0,-14.850161166191102,-14.850161166191102,0.999746327232251,0.00015051845383947293,0.00059166431426938,4.431406209750822e-07,2.1278532868613275e-07,3.9353664172018506e-07,1.967386289047611e-06,0.0,0.0,1.708267629551952e-05,-8.09055194650364,5.18359976918802,17.73424300258346,0.2629876200706515,2654.156884977284,2654.4198725973547,9588.410470540977,10530.0,10530.0,1712.830343138332,5.08249188974644,161.17518672936515
40.0,-14.800170695781707,0.0,-14.800170695781707,-14.800170695781707,0.9998450652014657,0.00016096992720688021,0.0006487011909488416,4.3208077470670594e-07,1.8090872674466323e-07,3.878348877412715e-07,2.4545702109029565e-06,0.0,0.0,2.4364626754539116e-05,-9.35646337474424,3.9176883409474152,18.130437285772082,0.12139725076499439,2654.419017533975,2654.54041478474,9588.289928353592,10740.0,10740.0,1502.830343138332,4.695472168018782,109.45047545729533
50.0,-14.750176274776459,0.0,-14.750176274776459,-14.750176274776459,0.9998966459963721,0.00016749320033559344,0.0006887078285213732,4.2442583238693176e-07,1.5350743883176375e-07,3.933008036229363e-07,2.9520462609635194e-06,0.0,0.0,3.1584926484813776e-05,-10.162342003749306,3.1118097119423545,18.11588567868445,0.06432359845153475,2654.5559557934157,2654.6202793918674,9588.210063746465,10905.0,10905.0,1337.830343138332,4.371810482875639,79.18686846591545
60.0,-14.700179690122605,0.0,-14.700179690122605,-14.700179690122605,0.9999269197351431,0.0001719292124748705,0.0007184803485866809,4.161444382599437e-07,1.3124459159768758e-07,3.901691423164289e-07,3.4421440453346064e-06,0.0,0.0,3.8235081006668166e-05,-10.69520000371467,2.5789517119769894,17.965074182830563,0.037694094832869424,2654.636327433705,2654.6740215285377,9588.156321609795,11013.0,11013.0,1229.830343138332,4.1076757407986175,60.80522609564399
70.0,-14.650181686878204,0.0,-14.650181686878204,-14.650181686878204,0.9999461897341764,0.00017507310483844482,0.0007401347160342908,3.968850506962717e-07,1.1330659636731921e-07,3.8551809041501897e-07,3.825755173899912e-06,0.0,0.0,4.4047597613761016e-05,-11.063618189561998,2.2105335261296597,17.87642135307625,0.02378987933059432,2654.687486011851,2654.7112758911817,9588.11906724715,11041.0,11043.0,1201.830343138332,3.8919850414274353,49.00807308749897
80.0,-14.600182703733445,0.0,-14.600182703733445,-14.600182703733445,0.9999591847325903,0.00017731477911133743,0.0007570469379416522,3.950848125511859e-07,9.875725152274936e-08,3.8149067019243504e-07,4.372844302767895e-06,0.0,0.0,5.0098029023662096e-05,-11.32910081319801,1.9450509024936475,17.864055427252083,0.015877554542162366,2654.721985527949,2654.7378630824915,9588.09248005584,11086.0,11086.0,1156.830343138332,3.714301840217165,41.029931634355734
90.0,-14.550183036327361,0.0,-14.550183036327361,-14.550183036327361,0.999968327265038,0.0001790628753794414,0.0007698750495919171,3.979778927121843e-07,8.69477317858959e-08,3.903663377466095e-07,5.0003587859111435e-06,0.0,0.0,5.538236900285778e-05,-11.527433145473935,1.746718570217722,17.85111919888774,0.011064670865545955,2654.7462574005044,2654.75732207137,9588.073021066963,11117.0,11117.0,1125.830343138332,3.566272966310919,35.38446798285201
100.0,-14.500182896852493,0.0,-14.500182896852493,-14.500182896852493,0.9999749691864044,0.00018028795105410396,0.0007784068584442139,3.81204308171249e-07,7.705638938703293e-08,3.7451006539402105e-07,5.387723746166327e-06,0.0,0.0,6.082807427089244e-05,-11.680327694040583,1.5938240216510733,17.83570196467504,0.007978942398034273,2654.7638905748845,2654.7718695172825,9588.05847362105,11115.0,11119.0,1127.830343138332,3.4414495061335413,31.232196634257097
110.0,-14.450182437896729,0.0,-14.450182437896729,-14.450182437896729,0.9999799168497121,0.00018120313311217746,0.0007872581481933594,3.8435836535989327e-07,6.879990581619154e-08,3.7551495570457284e-07,6.064645512066402e-06,0.0,0.0,6.623177340103158e-05,-11.801496357899335,1.4726553577923251,17.849531390526284,0.005915111774579793,2654.777025781562,2654.782940893336,9588.047402244996,11136.0,11138.0,1106.830343138332,3.3348700386495973,28.074734356311172
120.0,-14.400181785821914,0.0,-14.400181785821914,-14.400181785821914,0.999983677016678,0.0001819008538820717,0.0007963025569921456,3.7831434350186605e-07,6.183321616401182e-08,3.7454307598261105e-07,6.6212203516838165e-06,0.0,0.0,7.142420681328873e-05,-11.899920762423168,1.3742309532684898,17.884314935474862,0.004486309786160792,2654.787008386918,2654.791494696704,9588.038848441629,11143.0,11151.0,1099.830343138332,3.242686758165633,25.602416925096115
130.0,-14.350180997848511,0.0,-14.350180997848511,-14.350180997848511,0.9999865821457101,0.00018246215548356162,0.0008054828643793144,3.7036650415032127e-07,5.592220297414229e-08,3.640841805294939e-07,7.14949174069441e-06,0.0,0.0,7.646525299670413e-05,-11.981645667888342,1.292506047803319,17.933161029374034,0.0034685315636280756,2654.7947210116236,2654.798189543187,9588.032153595144,11134.0,11151.0,1108.830343138332,3.161913014775122,23.615729984631965
140.0,-14.30018009185791,0.0,-14.30018009185791,-14.30018009185791,0.9999888578636187,0.0001828852471619403,0.0008147811889642753,3.9610893339259047e-07,5.08287063125948e-08,3.8982320586423186e-07,8.391032520892983e-06,0.0,0.0,8.289399883900568e-05,-12.050839530022651,1.2233121856690077,17.977596850776592,0.0027260622419383344,2654.800762656579,2654.803488718821,9588.026854419511,11138.0,11151.0,1104.830343138332,3.0902175973883033,21.981860650863418
150.0,-14.250179063081742,0.0,-14.250179063081742,-14.250179063081742,0.9999906617234473,0.00018314305120568033,0.0008203876018519907,3.9439125602295547e-07,4.635777706634201e-08,3.903166757874832e-07,9.125967423934683e-06,0.0,0.0,8.684280308676905e-05,-12.110434391234337,1.1637173244573238,18.0263543578306,0.0021734228409765605,2654.8055515983874,2654.807725021228,9588.022618117104,11143.0,11151.0,1099.830343138332,3.0257846362854086,20.610169855604397
160.0,-14.20017797589302,0.0,-14.20017797589302,-14.20017797589302,0.9999921064108745,0.00018325601239943567,0.0008203303813942853,3.884748892502177e-07,4.239228345817848e-08,3.880534618704427e-07,9.777114365407474e-06,0.0,0.0,9.228838420427923e-05,-12.162536073331209,1.1116156423604489,18.070169359059467,0.0017549274292545465,2654.809386998405,2654.8111419258344,9588.019201212497,11133.0,11151.0,1109.830343138332,2.9671923665230078,19.437270183701457
170.0,-14.150176844596864,0.0,-14.150176844596864,-14.150176844596864,0.9999932739888905,0.00018328814725755864,0.0008203172683707294,3.940341625738816e-07,3.8877425443831835e-08,3.9224523458140453e-07,1.074335900589524e-05,0.0,0.0,9.661469003768656e-05,-12.208678923067685,1.0654727926239764,18.100784081117357,0.001433276368014893,2654.81248671995,2654.813919996318,9588.016423142013,11125.0,11151.0,1117.830343138332,2.9133140892458864,18.417735555272987
180.0,-14.100175712108612,0.0,-14.100175712108612,-14.100175712108612,0.9999942253903976,0.0001833196017342678,0.0008203053474424848,3.9582145181059484e-07,3.581214454695485e-08,3.9453022692577763e-07,1.1647239750263313e-05,0.0,0.0,0.00010361035410247726,-12.249996862697325,1.024154852994333,18.115973599878203,0.0011828188896964617,2654.815012529539,2654.816195348429,9588.014147789903,11134.0,11151.0,1108.830343138332,2.8632764402811066,17.51883241452796
190.0,-14.050174570083618,0.0,-14.050174570083618,-14.050174570083618,0.9999950063401973,0.0001833259663051745,0.0008203029632571912,3.832497967101856e-07,3.3103487398623904e-08,3.8377252776277007e-07,1.2127113972615917e-05,0.0,0.0,0.00010599418345766834,-12.287340034255747,0.9868116814359134,18.114688719767297,0.0009855603652678415,2654.8170858187646,2654.81807137913,9588.012271759202,11146.0,11151.0,1096.830343138332,2.8163911013573335,16.716413839317788
200.0,-14.000173425674438,0.0,-14.000173425674438,-14.000173425674438,0.9999956517690411,0.0001833259663051745,0.0008203029632571912,3.860110862051476e-07,3.0711170309285694e-08,3.8733283769388593e-07,1.3089663374921714e-05,0.0,0.0,0.00011057806477141121,-12.321364605096452,0.9527871105952077,18.115127371954774,0.0008285876822933761,2654.818799322843,2654.8196279105255,9588.010715227807,11147.0,11151.0,1095.830343138332,2.7720943227610855,15.992091563465406
210.0,-13.950172281265258,0.0,-13.950172281265258,-13.950172281265258,0.9999961884798151,0.0001833259663051745,0.0008203029632571912,3.9636807346320737e-07,2.8599206285650542e-08,3.9451765058707987e-07,1.43560365694105e-05,0.0,0.0,0.00011602336884287298,-12.35256945938355,0.921582256308109,18.111556968720045,0.0007025258744021906,2654.8202241988915,2654.8209267247657,9588.009416413566,11164.0,11164.0,1078.830343138332,2.729967106449315,15.33238267510575
220.0,-13.900171136856079,0.0,-13.900171136856079,-13.900171136856079,0.9999966373596427,0.0001833259663051745,0.0008203029632571912,3.935284900145891e-07,2.6727885368979333e-08,3.9384804694181456e-07,1.5174729941755119e-05,0.0,0.0,0.00012195167549476689,-12.381350952886798,0.8928007628048573,18.104411425591092,0.0006004335752009328,2654.8214158986784,2654.8220163322535,9588.008326806079,11153.0,11164.0,1089.830343138332,2.689656868468974,14.726621885078444
230.0,-13.850169992446899,0.0,-13.850169992446899,-13.850169992446899,0.9999970147318945,0.0001833259663051745,0.0008203029632571912,3.847130661755304e-07,2.5065347371316918e-08,3.838028944188072e-07,1.5744550577114018e-05,0.0,0.0,0.00012607223992982627,-12.40802559952466,0.8661261161669949,18.0990312531279,0.0005171237339809819,2654.8224177579827,2654.8229348817167,9588.007408256615,11161.0,11164.0,1081.830343138332,2.6508988383883962,14.166766557972416
240.0,-13.80016884803772,0.0,-13.80016884803772,-13.80016884803772,0.99999733354816,0.0001833259663051745,0.0008203029632571912,3.744328868235042e-07,2.3584179241607905e-08,3.7426986643393505e-07,1.6214072715933045e-05,0.0,0.0,0.00012977574974034356,-12.43283547424611,0.8413162414455514,18.094970911335285,0.0004486658480128938,2654.8232641610784,2654.8237128269266,9588.006630311405,11162.0,11164.0,1080.830343138332,2.6134895193838807,13.646587895861872
250.0,-13.75016770362854,0.0,-13.75016770362854,-13.75016770362854,0.999997604113831,0.0001833259663051745,0.0008203029632571912,3.8428968772370435e-07,2.2261919762889546e-08,3.837958337819899e-07,1.755539648775771e-05,0.0,0.0,0.00013521644043767682,-12.455988516176475,0.8181631995151877,18.09322209328738,0.0003920451787475295,2654.8239824670313,2654.82437451221,9588.005968626123,11181.0,11181.0,1061.830343138332,2.5772692089493208,13.161148695096367
