gset_id,n,lambda_min,lambda_max,initialization,effective_initial_dual,initial_convex,positive_multiplier_condition,selected_mode_count,initial_selected_energy_fraction,preclip_time,preclip_epsilon_lt_0_1,preclip_epsilon_lt_1,preclip_max_epsilon,preclip_selected_energy_fraction,preclip_energy_fraction_epsilon_lt_0_1,preclip_energy_fraction_epsilon_lt_1,preclip_selected_energy_share_epsilon_lt_0_1,preclip_selected_energy_share_epsilon_lt_1,first_clip,clip_sample_time,clip_epsilon_lt_0_1,clip_epsilon_lt_1,clip_max_epsilon,clip_selected_energy_fraction,clip_energy_fraction_epsilon_lt_0_1,clip_energy_fraction_epsilon_lt_1,first_prediction_error_above_10pct,first_forcing_relative_above_1pct,final_time,final_epsilon_lt_0_1,final_epsilon_lt_1,final_max_epsilon,final_selected_energy_fraction,archive_cut_at_100,archive_cut_at_500,archive_cut_at_1000,time_to_99pct_final_cut,final_energy_fraction_epsilon_lt_0_1,final_energy_fraction_epsilon_lt_1,best_threshold_cut,spectral_upper,spectral_certified_ratio,max_relative_identity_residual,max_forcing_projection_discrepancy,max_bound_violation,max_relative_bound_violation
1,800,-13.274151715691659,48.7874941741874,center-uniform,15.0,1,1,9,0.010012944487201234,1190,8,9,0.21454772134725453,0.9860842218594085,0.9860833946801346,0.9860842218594082,0.99999916114744,0.9999999999999998,1200,1200,8,9,0.28578575808819,0.9865251580232368,0.9865243212514191,0.9865251580232367,1230,1230,3000,0,0,50.79481345966802,0.5665098895066653,11119.0,11255.0,11255.0,1520,0,0,11541.0,12242.830343138332,0.9426741755404883,1.642288871286987e-14,9.325873406851315e-15,0.0,0.0
2,800,-13.395787316459483,48.84861841704257,center-uniform,15.0,1,1,10,0.020015703532838623,1040,9,9,1.7144506067462726,0.9988989680581313,0.9988989576116465,0.9988989576116465,0.9999999895420006,0.9999999895420006,1047,1050,9,9,5.29693135329355,0.9989110643050116,0.998911064223603,0.998911064223603,1090,1090,3000,0,0,2642.736156790787,0.5915149620417223,11079.0,11252.0,11286.0,1340,0,0,11574.0,12267.157463291896,0.9434948589054887,8.896177877230248e-13,1.582067810090848e-14,0.0,0.0
3,800,-13.473226512804215,48.882311073058524,center-uniform,15.0,1,1,11,0.013649069374411057,1050,9,11,0.17363059620119597,0.9990208907575076,0.9990188180509192,0.9990208907575076,0.9999979252620165,1.0,1052,1060,7,11,0.947261439318115,0.9988466716972279,0.9986654198184444,0.9988466716972276,1090,1100,3000,0,0,49.97859322436676,0.5960397127201074,11110.0,11272.0,11272.0,1480,0,0,11577.0,12282.645302560843,0.9425494032288207,1.9655196554709172e-14,1.2961853812498703e-14,8.646221157996279e-18,8.646221157996279e-18
4,800,-13.676860186112613,48.89070821662589,center-uniform,15.0,1,1,13,0.014293203680151308,1000,10,11,7.541961395259052,0.9998564833157323,0.9998547289956712,0.9998564077615069,0.9999982454281285,0.9999999244349297,1010,1010,10,11,11.695235939200417,0.9998659801777109,0.9998644538848512,0.9998658306170833,1040,1050,3000,0,0,2828.369998254594,0.6299806601826828,11057.0,11278.0,11329.0,1480,0,0,11628.0,12323.372037222522,0.9435729088497724,4.908275412699186e-13,1.3822276656583199e-14,0.0,0.0
5,800,-13.647125366575334,48.868246247171214,center-uniform,15.0,1,1,13,0.012062552892787796,980,11,12,18.59017807107872,0.9997917871472184,0.9997917302389817,0.9997917587977393,0.9999999430799118,0.999999971644617,986,990,9,11,47.44845831536593,0.9997458244419227,0.9997226551565996,0.9997455850340252,1020,1030,3000,0,0,4664.016834259403,0.616185294406948,11135.0,11265.0,11296.0,1370,0,0,11594.0,12317.425073315067,0.9412681571830851,1.0653766548312388e-12,1.659783421814609e-14,0.0,0.0
